run number,initial-population,growth-rate,index,step,count turtles,survival rate,sugar of turtles,vision of turtles,metabolism of turtles,gini-index
152,1000,2,1000_2,3000,523,0.523,3225.210325,3.843212237,1.707456979,0.416166383
153,1000,2,1000_2,3000,514,0.514,3193.330739,3.906614786,1.737354086,0.424518215
154,1000,2,1000_2,3000,529,0.529,3075.990548,3.882797732,1.741020794,0.445143307
156,1000,2,1000_2,3000,522,0.522,3170.331418,3.994252874,1.703065134,0.436457444
155,1000,2,1000_2,3000,539,0.539,3067.519481,3.792207792,1.723562152,0.432630337
157,1000,2,1000_2,3000,504,0.504,3079.599206,3.837301587,1.771825397,0.447670847
158,1000,2,1000_2,3000,527,0.527,2966.998102,3.874762808,1.768500949,0.464208532
159,1000,2,1000_2,3000,532,0.532,2957.755639,3.836466165,1.772556391,0.466576731
162,1000,2,1000_2,3000,504,0.504,3419.029762,3.851190476,1.668650794,0.403023623
161,1000,2,1000_2,3000,523,0.523,3153.824092,3.917782027,1.724665392,0.428168972
160,1000,2,1000_2,3000,541,0.541,2967.19963,3.924214418,1.748613678,0.452449861
163,1000,2,1000_2,3000,522,0.522,3209.045977,3.67816092,1.697318008,0.430180919
165,1000,2,1000_2,3000,519,0.519,3215.169557,3.824662813,1.67822736,0.438628086
164,1000,2,1000_2,3000,527,0.527,3334.220114,3.863377609,1.669829222,0.408950072
166,1000,2,1000_2,3000,527,0.527,2962.59962,3.872865275,1.785578748,0.455826667
167,1000,2,1000_2,3000,511,0.511,3105.432485,3.85518591,1.767123288,0.43717174
168,1000,2,1000_2,3000,528,0.528,3267.791667,3.96780303,1.676136364,0.420787923
169,1000,2,1000_2,3000,521,0.521,3240.510557,3.84452975,1.715930902,0.413664566
170,1000,2,1000_2,3000,535,0.535,2992.66729,3.794392523,1.770093458,0.448554034
171,1000,2,1000_2,3000,537,0.537,3102.100559,3.849162011,1.713221601,0.436962774
172,1000,2,1000_2,3000,540,0.54,3080.888889,3.896296296,1.7,0.448939578
174,1000,2,1000_2,3000,499,0.499,3296.967936,3.765531062,1.711422846,0.425433609
173,1000,2,1000_2,3000,543,0.543,3157.913444,3.898710866,1.696132597,0.430670645
175,1000,2,1000_2,3000,510,0.51,3102.041176,3.803921569,1.717647059,0.450304012
177,1000,2,1000_2,3000,502,0.502,3159.26494,3.800796813,1.74501992,0.445169091
176,1000,2,1000_2,3000,534,0.534,3001.544944,3.878277154,1.758426966,0.457291419
178,1000,2,1000_2,3000,522,0.522,3300.036398,3.777777778,1.689655172,0.418995123
179,1000,2,1000_2,3000,527,0.527,3266.675522,3.838709677,1.688804554,0.407294871
181,1000,3,1000_3,3000,555,0.555,2655.567568,3.801801802,1.776576577,0.479606287
