Latitude,Longitude
51.509363,-0.432888
51.492836,-0.252223
51.426616,-0.334369
51.357449,-0.097793
51.462179,-0.292982
51.548233,-0.416539
51.557001,-0.362197
51.591788,-0.257046
51.616583,-0.176795
51.597956,-0.110545
51.648206,-0.131368
51.586268,-0.361419
51.563944,-0.223196
51.568159,-0.321395
51.544141,0.077913
51.418878,0.066862
51.316927,-0.083972
51.428122,0.101286
51.504529,-0.289599
51.483175,-0.48608
51.364513,-0.165736
51.340755,-0.144645
51.455396,-0.320195
51.561998,-0.413061
51.552456,-0.296904
51.631012,-0.122885
51.536141,0.022148
51.569606,0.064312
51.535406,0.177745
51.367512,0.033401
51.427616,-0.011461
51.411666,-0.066453
51.449894,0.012635
51.48135,0.127741
51.434154,0.065983
51.473945,0.039974
51.409241,-0.213972
51.377268,-0.153961
51.517282,-0.26645
51.514985,-0.355504
51.46752,-0.37849
51.445236,-0.337922
51.398073,-0.172588
51.416682,-0.263298
51.563901,-0.261157
51.541368,-0.450622
51.551023,-0.321651
51.591358,-0.333302
51.655447,-0.152568
51.630462,-0.181629
51.585745,-0.219935
51.540191,0.00048
51.528284,0.083174
51.522586,0.065658
51.520151,0.046089
51.517148,0.019577
51.493689,0.06281
51.492773,0.054514
51.488269,0.032777
51.486674,0.022595
51.486204,0.011209
51.558232,-0.196023
51.583368,-0.072308
51.532909,-0.376341
51.611305,-0.422679
51.604021,-0.128792
51.58645,-0.002786
51.608892,-0.001513
51.361965,0.027596
51.490357,0.131431
51.452718,0.179579
51.368702,-0.195192
51.486116,-0.299708
51.405254,-0.257332
51.481903,-0.324434
51.631755,-0.144774
51.52489,-0.265858
51.604431,0.180397
51.540138,0.049869
51.517208,0.192041
51.546396,0.057117
51.542557,0.281724
51.475846,-0.009436
51.41527,0.069518
51.393757,-0.303019
51.496094,-0.263306
51.368858,-0.165289
51.56498,-0.445737
51.527584,-0.32629
51.615905,-0.236608
51.587748,-0.040292
51.532454,0.047534
51.472486,0.01409
51.400312,-0.018224
51.348252,-0.094613
51.45129,-0.296123
51.307626,-0.121548
51.363639,-0.132056
51.453792,-0.344606
51.58914,-0.074951
51.55673,-0.397982
51.664132,-0.095604
51.611965,-0.423624
51.568174,-0.356789
51.534295,-0.274945
51.607005,-0.302633
51.633714,-0.12429
51.592467,0.232695
51.576887,0.04598
51.547318,0.005985
51.565461,0.093718
51.6082,0.036137
51.558024,-0.017059
51.557419,0.01686
51.551219,0.148281
51.463923,0.140061
51.355693,-0.030692
51.317203,0.025191
51.378633,-0.028012
51.409032,0.110692
51.459275,0.078504
51.433391,-0.016821
51.437938,0.072758
51.366804,-0.192192
51.452291,-0.358074
51.516995,-0.292274
51.369016,-0.29474
51.477449,-0.383769
51.511179,-0.473076
51.359821,-0.156745
51.499325,-0.299678
51.507849,-0.419856
51.57677,-0.333157
51.604826,-0.481662
51.649202,-0.168939
51.597061,-0.179122
51.597068,0.067477
51.612028,-0.071267
51.349337,0.087053
51.399392,0.04577
51.356056,-0.073075
51.377014,0.12277
51.367597,-0.005026
51.511884,-0.375561
51.39993,-0.132389
51.524476,0.224898
51.575044,-0.171329
51.539351,-0.307819
51.639437,-0.160892
51.553861,-0.218338
51.597848,-0.185805
51.572711,-0.412687
51.591669,-0.482173
51.6613,-0.070867
51.60615,0.10294
51.584999,-0.007845
51.583231,0.208945
51.608197,0.221739
51.486118,0.032379
51.388919,-0.068935
51.472755,0.158618
51.437252,0.006238
51.412228,0.025361
51.493832,0.11187
51.38594,-0.130875
51.507067,-0.425935
51.42008,-0.287072
51.461301,-0.349128
51.408123,-0.153983
51.547095,-0.213352
51.549095,-0.224813
51.55518,0.03612
